event_key,event_date,event_type,event_label,description,source_id
evt_20230408_sign_gilyard_two_way,2023-04-08,contract_signing,Two-way Signing: Jacob Gilyard,Memphis signed Jacob Gilyard to a two-way contract.,src_realgm_txn_2023
evt_20230408_waive_chandler,2023-04-08,waiver,Waiver: Kennedy Chandler,Memphis waived Kennedy Chandler.,src_realgm_txn_2023
evt_20230622_draft_gg,2023-06-22,draft_pick,Draft Pick: GG Jackson (45),Memphis selected GG Jackson at #45.,src_realgm_txn_2023
evt_20230622_draft_tarik,2023-06-22,draft_pick,Draft Pick: Tarik Biberovic (56 rights),Memphis selected Tarik Biberovic at #56 (rights).,src_realgm_txn_2023
evt_20230623_trade_smart,2023-06-23,trade,Trade: Acquired Marcus Smart,"Memphis traded Tyus Jones, rights to Marcus Sasser, and a 2024 first-round pick (via GSW) for Marcus Smart.",src_bref_mem_2024_txn
evt_20230703_sign_rose,2023-07-03,contract_signing,Signing: Derrick Rose,Memphis signed Derrick Rose.,src_realgm_txn_2024
evt_20230708_ext_bane,2023-07-08,extension,Extension: Desmond Bane,Memphis signed Desmond Bane to a rookie scale extension.,src_realgm_txn_2024
evt_20230708_trade_brooks,2023-07-08,trade,Five-team Trade: Dillon Brooks outgoing,"In a five-team trade, Memphis sent Dillon Brooks and acquired Josh Christopher and draft rights to Vanja Marinkovic.",src_bref_mem_2024_txn
evt_20230711_trade_swap_phx,2023-07-11,trade,Trade: Isaiah Todd + first-round swap rights,"Memphis traded 2025, 2028, and 2029 second-round picks to Phoenix for Isaiah Todd and first-round swap rights in 2024 and 2030.",src_bref_mem_2024_txn
evt_20230831_sign_gg_two_way,2023-08-31,contract_signing,Two-way Signing: GG Jackson,Memphis signed GG Jackson to a two-way deal.,src_realgm_txn_2024
evt_20230831_sign_shaq_harrison,2023-08-31,contract_signing,Signing: Shaquille Harrison,Memphis signed Shaquille Harrison.,src_realgm_txn_2024
evt_20230930_sign_mychal_mulder,2023-09-30,contract_signing,Signing: Mychal Mulder,Memphis signed Mychal Mulder.,src_realgm_txn_2024
evt_20230930_waive_christopher,2023-09-30,waiver,Waiver: Josh Christopher,Memphis waived Josh Christopher.,src_realgm_txn_2024
evt_20230930_waive_todd,2023-09-30,waiver,Waiver: Isaiah Todd,Memphis waived Isaiah Todd.,src_realgm_txn_2024
evt_20231016_waive_matthew_hurt,2023-10-16,waiver,Waiver: Matthew Hurt,Memphis waived Matthew Hurt.,src_realgm_txn_2024
evt_20231016_waive_mychal_mulder,2023-10-16,waiver,Waiver: Mychal Mulder,Memphis waived Mychal Mulder.,src_realgm_txn_2024
evt_20231101_sign_biyombo,2023-11-01,contract_signing,Signing: Bismack Biyombo,Memphis signed Bismack Biyombo.,src_realgm_txn_2024
evt_20231124_sign_jaylen_nowell,2023-11-24,contract_signing,Signing: Jaylen Nowell,Memphis signed Jaylen Nowell.,src_realgm_txn_2024
evt_20231218_waive_lofton,2023-12-18,waiver,Waiver: Kenny Lofton Jr.,Memphis waived Kenny Lofton Jr.,src_realgm_txn_2024
evt_20240110_conv_vince,2024-01-10,conversion,Conversion: Vince Williams Jr. to standard contract,Memphis converted Vince Williams Jr. from two-way to standard contract.,src_realgm_txn_2024
evt_20240110_waive_biyombo,2024-01-10,waiver,Waiver: Bismack Biyombo,Memphis waived Bismack Biyombo.,src_realgm_txn_2024
evt_20240116_sign_scotty_two_way,2024-01-16,contract_signing,Two-way Signing: Scotty Pippen Jr.,Memphis signed Scotty Pippen Jr. to a two-way deal.,src_realgm_txn_2024
evt_20240129_sign_matthew_hurt,2024-01-29,contract_signing,Signing: Matthew Hurt,Memphis signed Matthew Hurt.,src_realgm_txn_2024
evt_20240130_sign_tosan_evbuomwan,2024-01-30,contract_signing,Signing: Tosan Evbuomwan,Memphis signed Tosan Evbuomwan.,src_realgm_txn_2024
evt_20240130_sign_trey_jemison,2024-01-30,contract_signing,Signing: Trey Jemison,Memphis signed Trey Jemison.,src_realgm_txn_2024
evt_20240201_trade_adams,2024-02-01,trade,Trade: Steven Adams to Houston,"Memphis traded Steven Adams for Victor Oladipo, two 2024 second-round picks, and a 2025 second-round pick.",src_bref_mem_2024_txn
evt_20240207_trade_tillman,2024-02-07,trade,Trade: Xavier Tillman to Boston,Memphis traded Xavier Tillman Sr. and acquired Lamar Stevens plus ATL 2027 second and DAL 2030 second.,src_bref_mem_2024_txn
evt_20240208_waive_oladipo,2024-02-08,waiver,Waiver: Victor Oladipo,Memphis waived Victor Oladipo.,src_realgm_txn_2024
evt_20240209_conv_gg,2024-02-09,conversion,Conversion: GG Jackson to standard contract,Memphis converted GG Jackson to a standard contract.,src_realgm_txn_2024
evt_20240209_sign_jemison_two_way,2024-02-09,contract_signing,Signing: Trey Jemison,Memphis signed Trey Jemison.,src_realgm_txn_2024
evt_20240209_sign_trey_jemison_update,2024-02-09,contract_signing,Signing: Trey Jemison (updated deal),Memphis signed Trey Jemison to an updated contract at deadline period.,src_realgm_txn_2024
evt_20240224_sign_goodwin_two_way,2024-02-24,contract_signing,Two-way Signing: Jordan Goodwin,Memphis signed Jordan Goodwin to a two-way deal.,src_realgm_txn_2024
evt_20240226_sign_matthew_hurt,2024-02-26,contract_signing,Signing: Matthew Hurt,Memphis signed Matthew Hurt.,src_realgm_txn_2024
evt_20240308_sign_wenyen_gabriel,2024-03-08,contract_signing,Signing: Wenyen Gabriel,Memphis signed Wenyen Gabriel.,src_realgm_txn_2024
evt_20240310_sign_dejon_jarreau,2024-03-10,contract_signing,Signing: DeJon Jarreau,Memphis signed DeJon Jarreau.,src_realgm_txn_2024
evt_20240320_sign_dejon_jarreau_again,2024-03-20,contract_signing,Signing: DeJon Jarreau,Memphis re-signed DeJon Jarreau.,src_realgm_txn_2024
evt_20240320_sign_maozinha,2024-03-20,contract_signing,Signing: Maozinha Pereira,Memphis signed Maozinha Pereira.,src_realgm_txn_2024
evt_20240330_sign_zavier_simpson,2024-03-30,contract_signing,Signing: Zavier Simpson,Memphis signed Zavier Simpson.,src_realgm_txn_2024
evt_20240409_sign_jack_white,2024-04-09,contract_signing,Signing: Jack White,Memphis signed Jack White.,src_realgm_txn_2024
evt_20240409_sign_zavier_simpson_again,2024-04-09,contract_signing,Signing: Zavier Simpson,Memphis re-signed Zavier Simpson.,src_realgm_txn_2024
evt_20240626_draft_edey,2024-06-26,draft_pick,Draft Pick: Zach Edey (9),Memphis selected Zach Edey at #9.,src_realgm_txn_2025
evt_20240627_draft_chomche,2024-06-27,draft_pick,Draft Pick: Ulrich Chomche (57 rights),Memphis selected Ulrich Chomche at #57 (rights).,src_realgm_txn_2025
evt_20240627_draft_wells,2024-06-27,draft_pick,Draft Pick: Jaylen Wells (39),Memphis selected Jaylen Wells at #39.,src_realgm_txn_2025
evt_20240706_sign_jaylen_wells,2024-07-06,contract_signing,Signing: Jaylen Wells,Memphis signed Jaylen Wells to a rookie contract.,src_realgm_txn_2025
evt_20240706_sign_zach_edey,2024-07-06,contract_signing,Signing: Zach Edey,Memphis signed Zach Edey to a rookie contract.,src_realgm_txn_2025
evt_20240706_trade_cam_spencer,2024-07-06,trade,Four-team Trade: Acquired Cam Spencer rights,"In a four-team trade, Memphis acquired Cam Spencer rights and sent Ulrich Chomche rights plus a conditional 2030 second-round pick.",src_bref_mem_2025_txn
evt_20240708_sign_cam_two_way,2024-07-08,contract_signing,Two-way Signing: Cam Spencer,Memphis signed Cam Spencer to a two-way contract.,src_realgm_txn_2025
evt_20240719_trade_ziaire,2024-07-19,trade,Trade: Ziaire Williams to Brooklyn,Memphis traded Ziaire Williams and a 2030 DAL second-round pick for Mamadi Diakite and draft rights to Nemanja Dangubic.,src_bref_mem_2025_txn
evt_20240724_end_trey_jemison_two_way,2024-07-24,conversion,Conversion: Ended Trey Jemison two-way,Memphis ended Trey Jemison's two-way contract.,src_realgm_txn_2025
evt_20240724_sign_huff_two_way,2024-07-24,contract_signing,Two-way Signing: James Huff,Memphis signed James Huff to a two-way contract.,src_realgm_txn_2025
evt_20240731_re_sign_kennard,2024-07-31,re_signing,Re-signing: Luke Kennard,Memphis re-signed Luke Kennard.,src_realgm_txn_2025
evt_20240827_waive_diakite,2024-08-27,waiver,Waiver: Mamadi Diakite,Memphis waived Mamadi Diakite.,src_realgm_txn_2025
evt_20240906_sign_yuki,2024-09-06,contract_signing,Signing: Yuki Kawamura,Memphis signed Yuki Kawamura.,src_realgm_txn_2025
evt_20240923_waive_rose,2024-09-23,waiver,Waiver: Derrick Rose,Memphis waived Derrick Rose.,src_realgm_txn_2025
evt_20241015_conv_scotty,2024-10-15,conversion,Conversion: Scotty Pippen Jr. to standard contract,Memphis converted Scotty Pippen Jr. from two-way to standard deal.,src_realgm_txn_2025
evt_20241019_conv_yuki_two_way,2024-10-19,conversion,Conversion: Yuki Kawamura to two-way,Memphis converted Yuki Kawamura to a two-way contract.,src_realgm_txn_2025
evt_20241028_conv_huff,2024-10-28,conversion,Conversion: James Huff to standard contract,Memphis converted James Huff from two-way to a standard contract.,src_realgm_txn_2025
evt_20241030_sign_castleton_two_way,2024-10-30,contract_signing,Two-way Signing: Colin Castleton,Memphis signed Colin Castleton to a two-way contract.,src_realgm_txn_2025
evt_20250110_end_castleton_two_way,2025-01-10,conversion,Conversion: Ended Colin Castleton two-way,Memphis ended Colin Castleton's two-way contract.,src_realgm_txn_2025
evt_20250110_sign_zyon_two_way,2025-01-10,contract_signing,Two-way Signing: Zyon Pullin,Memphis signed Zyon Pullin to a two-way contract.,src_realgm_txn_2025
evt_20250206_trade_deadline,2025-02-06,trade,Three-team Trade: Smart + LaRavia outgoing,"Memphis traded Marcus Smart and MEM 2025 first to Washington, traded Jake LaRavia to Sacramento, and acquired Marvin Bagley III, Johnny Davis, WAS 2025 second, and SAC 2028 second.",src_bref_mem_2025_txn
evt_20250221_sign_lamar,2025-02-21,contract_signing,Signing: Lamar Stevens (10-day),Memphis signed Lamar Stevens to a 10-day contract.,src_realgm_txn_2025
evt_20250221_waive_johnny,2025-02-21,waiver,Waiver: Johnny Davis,Memphis waived Johnny Davis.,src_realgm_txn_2025
evt_20250303_sign_lamar_again,2025-03-03,contract_signing,Signing: Lamar Stevens (second 10-day),Memphis signed Lamar Stevens to a second 10-day contract.,src_realgm_txn_2025
evt_20250313_sign_lamar_rest,2025-03-13,contract_signing,Signing: Lamar Stevens rest-of-season,Memphis signed Lamar Stevens for the rest of the season.,src_realgm_txn_2025
evt_20250615_trade_bane,2025-06-15,trade,Trade: Desmond Bane to Orlando,"Memphis traded Desmond Bane and 2026 first-round swap rights for Cole Anthony, Kentavious Caldwell-Pope, ORL 2025 first, ORL 2028 first, 2029 first swap rights, and ORL 2030 first.",src_bref_mem_2025_txn
evt_20250625_trade_up_cedric,2025-06-25,trade,Draft-night Trade: Acquired Cedric Coward rights,"Memphis traded Yang Hansen rights, ATL 2027 second, ORL 2028 first, and SAC 2028 second to Portland for Cedric Coward rights.",src_bref_mem_2025_txn
evt_20250626_draft_javon_small,2025-06-26,draft_pick,Draft Pick: Javon Small (48),Memphis selected Javon Small at #48.,src_realgm_txn_2026
evt_20250626_draft_will_richard,2025-06-26,draft_pick,Draft Pick: Will Richard (56 rights),Memphis selected Will Richard at #56 (rights).,src_realgm_txn_2026
evt_20250706_trade_huff,2025-07-06,trade,Trade: James Huff to Indiana,Memphis traded James Huff to Indiana for POR 2029 second-round pick and 2031 second-round swap rights.,src_bref_mem_2026_txn
evt_20250706_trade_will_for_jessup,2025-07-06,trade,Trade: Will Richard rights for Jessup package,"Memphis traded Will Richard rights to Golden State for Justinian Jessup, Jahmai Mashack, and a 2032 GSW second-round pick.",src_bref_mem_2026_txn
evt_20250707_sign_cedric,2025-07-07,contract_signing,Signing: Cedric Coward rookie deal,Memphis signed Cedric Coward.,src_realgm_txn_2026
evt_20250710_sign_javon_two_way,2025-07-10,contract_signing,Two-way Signing: Javon Small,Memphis signed Javon Small to a two-way contract.,src_realgm_txn_2026
evt_20250712_waive_cole,2025-07-12,waiver,Waiver: Cole Anthony,Memphis waived Cole Anthony.,src_realgm_txn_2026
evt_20250713_ext_jaren,2025-07-13,extension,Extension: Jaren Jackson Jr.,Memphis renegotiated and extended Jaren Jackson Jr.,src_realgm_txn_2026
evt_20250714_re_sign_cam,2025-07-14,re_signing,Re-signing: Cam Spencer,Memphis re-signed Cam Spencer.,src_realgm_txn_2026
evt_20250714_sign_ty_jerome,2025-07-14,contract_signing,Signing: Ty Jerome,Memphis signed Ty Jerome.,src_realgm_txn_2026
evt_20250715_re_sign_santi,2025-07-15,re_signing,Re-signing: Santi Aldama,Memphis re-signed Santi Aldama.,src_realgm_txn_2026
evt_20250715_sign_jock,2025-07-15,contract_signing,Signing: Jock Landale,Memphis signed Jock Landale.,src_realgm_txn_2026
evt_20250720_end_zyon,2025-07-20,conversion,Conversion: Ended Zyon Pullin two-way,Memphis ended Zyon Pullin two-way contract.,src_realgm_txn_2026
evt_20250720_sign_pj_hall_two_way,2025-07-20,contract_signing,Two-way Signing: PJ Hall,Memphis signed PJ Hall to a two-way contract.,src_realgm_txn_2026
evt_20250904_sign_olivier_two_way,2025-09-04,contract_signing,Two-way Signing: Olivier-Maxence Prosper,Memphis signed Olivier-Maxence Prosper to a two-way contract.,src_realgm_txn_2026
evt_20250906_sign_lawson_lovering,2025-09-06,contract_signing,Signing: Lawson Lovering,Memphis signed Lawson Lovering.,src_realgm_txn_2026
evt_20250923_sign_braxton_key,2025-09-23,contract_signing,Signing: Braxton Key,Memphis signed Braxton Key.,src_realgm_txn_2026
evt_20251018_waive_braxton_key,2025-10-18,waiver,Waiver: Braxton Key,Memphis waived Braxton Key.,src_realgm_txn_2026
evt_20251018_waive_lawson_lovering,2025-10-18,waiver,Waiver: Lawson Lovering,Memphis waived Lawson Lovering.,src_realgm_txn_2026
evt_20251027_sign_bassey,2025-10-27,contract_signing,Signing: Charles Bassey,Memphis signed Charles Bassey.,src_realgm_txn_2026
evt_20251116_end_pj_hall,2025-11-16,conversion,Conversion: Ended PJ Hall two-way,Memphis ended PJ Hall two-way contract.,src_realgm_txn_2026
evt_20251116_sign_jahmai_two_way,2025-11-16,contract_signing,Two-way Signing: Jahmai Mashack,Memphis signed Jahmai Mashack to a two-way contract.,src_realgm_txn_2026
evt_20251124_sign_bufkin,2025-11-24,contract_signing,Signing: Kobe Bufkin,Memphis signed Kobe Bufkin.,src_realgm_txn_2026
evt_20251222_sign_koloko,2025-12-22,contract_signing,Signing: Christian Koloko,Memphis signed Christian Koloko to a 10-day contract.,src_realgm_txn_2026
evt_20260102_sign_koloko_again,2026-01-02,contract_signing,Signing: Christian Koloko second 10-day,Memphis signed Christian Koloko to a second 10-day contract.,src_realgm_txn_2026
evt_20260203_trade_jjj,2026-02-03,trade,Trade: Jaren Jackson Jr. to Utah,"Memphis traded Jaren Jackson Jr., John Konchar, Jock Landale, and Vince Williams Jr. to Utah for Kyle Anderson, Walter Clayton Jr., Taylor Hendricks, Georges Niang, two 2027 firsts, and a 2031 first.",src_bref_mem_2026_txn
evt_20260205_trade_jessup,2026-02-05,trade,Trade: Justinian Jessup to Philadelphia,Memphis traded Justinian Jessup to Philadelphia for Eric Gordon and 2032 second-round swap rights.,src_bref_mem_2026_txn
evt_20260205_waive_niang,2026-02-05,waiver,Waiver: Georges Niang,Memphis waived Georges Niang.,src_realgm_txn_2026
evt_20260206_waive_gordon,2026-02-06,waiver,Waiver: Eric Gordon,Memphis waived Eric Gordon.,src_realgm_txn_2026
evt_20260209_sign_lawson_lovering,2026-02-09,contract_signing,Signing: Lawson Lovering,Memphis signed Lawson Lovering.,src_realgm_txn_2026
evt_20260222_sign_rayan_rupert,2026-02-22,contract_signing,Signing: Rayan Rupert,Memphis signed Rayan Rupert.,src_realgm_txn_2026
